Year,Cumulative dh (m),Uncertainty
2010.8,,0.28411
2011,-9.19576,0.43733
2011.1,-8.955,0.54037
2011.3,-10.10768,0.62138
2011.5,-10.39594,0.70697
2011.6,-12.1799,0.75898
2011.8,-11.8396,0.80251
2012,-11.3029,0.84773
2012.1,-10.31358,0.904
2012.3,-11.4702,0.95809
2012.5,-10.18267,0.97839
2012.6,-14.075,0.99388
2012.8,-14.004,1.0662
2013,-12.1683,1.1074
2013.1,-12.5386,1.1211
2013.3,-12.8492,1.1266
2013.4,-12.2073,1.148
2013.6,-14.1151,1.1812
2013.8,-12.2594,1.1976
2013.9,-12.429,1.2241
2014.1,-12.7035,1.2395
2014.3,-14.051,1.3101
2014.4,-12.1648,1.3703
2014.6,-12.7422,1.3886
2014.8,-13.4914,1.4123
2014.9,-12.0639,1.4286
2015.1,-12.7785,1.4419
2015.3,-13.3238,1.4671
2015.4,-13.3572,1.4777
2015.6,-14.883,1.4894
2015.7,-15.7377,1.5088
2015.9,-14.049,1.5127
2016.1,-13.3896,1.5241
2016.2,-14.5517,1.5363
2016.4,-13.8953,1.5437
2016.6,-15.9015,1.5535
2016.7,-14.9325,1.5659
2016.9,-15.8793,1.5819
2017.1,-14.5931,1.6252
2017.2,-14.4318,1.6355
2017.4,-15.1285,1.6708
2017.6,-15.5622,1.6926
2017.7,-16.0397,1.7123
2017.9,-15.3353,1.7253
2018,-15.3996,1.7461
2018.2,-15.2167,1.76
2018.4,-15.1417,1.7748
2018.5,-16.2813,1.7916
2018.7,-17.4866,1.8078
2018.9,-16.635,1.8183
2019,-15.6283,1.8393
2019.2,-14.9401,1.8557
2019.4,-14.9675,1.865
2019.5,-15.6645,1.8837
2019.7,-18.4681,1.9055
2019.9,-18.1984,1.9302
2020,-18.3258,1.9522
2020.2,-17.1553,1.9718
2020.3,-17.5041,2.0048
2020.5,-17.6994,2.0281
2020.5,-17.6994,2.0281
